,id_lancamento,id_centro_custo,id_forma_pagamento,dt_vencimento,valor,dt_pagamento,dt_competencia,ds_periodicidade,id_centro_resultado,valor_rateado,etapa_rateio,ds_canal_aquisicao,ds_segmento
0,48102081,81044,402884,2024-11-19,-900.0,2024-11-19,2024-11-19,,204,-0.3971934188477867,1,canalA,segmento-D
1,48102081,81044,402884,2024-11-19,-900.0,2024-11-19,2024-11-19,,204,-251.75420045671288,1,canalA,segmento-M
2,48102081,81044,402884,2024-11-19,-900.0,2024-11-19,2024-11-19,,204,-151.75112149875633,1,canalA,segmento-R
3,48102081,81044,402884,2024-11-19,-900.0,2024-11-19,2024-11-19,,204,-152.28656558583413,1,canalA,segmento-S
4,48102081,81044,402884,2024-11-19,-900.0,2024-11-19,2024-11-19,,204,-179.78936019006574,1,canalB,segmento-M
5,48102081,81044,402884,2024-11-19,-900.0,2024-11-19,2024-11-19,,204,-3.0250804931163984,1,canalB,segmento-R
6,48102081,81044,402884,2024-11-19,-900.0,2024-11-19,2024-11-19,,204,-160.99647835666661,1,canalB,segmento-S
7,44831103,0,472504,2024-11-06,-405.29,,2024-11-06,M1,100,-0.1788650230275772,1,canalA,segmento-D
8,44831103,0,472504,2024-11-06,-405.29,,2024-11-06,M1,100,-113.37051100344574,1,canalA,segmento-M
9,44831103,0,472504,2024-11-06,-405.29,,2024-11-06,M1,100,-68.3369022580344,1,canalA,segmento-R
10,44831103,0,472504,2024-11-06,-405.29,,2024-11-06,M1,100,-68.57802462920301,1,canalA,segmento-S
11,44831103,0,472504,2024-11-06,-405.29,,2024-11-06,M1,100,-80.96314421270193,1,canalB,segmento-M
12,44831103,0,472504,2024-11-06,-405.29,,2024-11-06,M1,100,-1.3622609700612724,1,canalB,segmento-R
13,44831103,0,472504,2024-11-06,-405.29,,2024-11-06,M1,100,-72.50029190352602,1,canalB,segmento-S
14,44831102,0,472504,2024-10-06,-405.29,,2024-10-06,M1,100,-0.1788650230275772,1,canalA,segmento-D
15,44831102,0,472504,2024-10-06,-405.29,,2024-10-06,M1,100,-113.37051100344574,1,canalA,segmento-M
16,44831102,0,472504,2024-10-06,-405.29,,2024-10-06,M1,100,-68.3369022580344,1,canalA,segmento-R
17,44831102,0,472504,2024-10-06,-405.29,,2024-10-06,M1,100,-68.57802462920301,1,canalA,segmento-S
18,44831102,0,472504,2024-10-06,-405.29,,2024-10-06,M1,100,-80.96314421270193,1,canalB,segmento-M
19,44831102,0,472504,2024-10-06,-405.29,,2024-10-06,M1,100,-1.3622609700612724,1,canalB,segmento-R
20,44831102,0,472504,2024-10-06,-405.29,,2024-10-06,M1,100,-72.50029190352602,1,canalB,segmento-S
21,46455351,0,402853,2024-10-15,-1.14,2024-10-15,2024-10-15,,100,-0.0005031116638738631,1,canalA,segmento-D
22,46455351,0,402853,2024-10-15,-1.14,2024-10-15,2024-10-15,,100,-0.3188886539118363,1,canalA,segmento-M
23,46455351,0,402853,2024-10-15,-1.14,2024-10-15,2024-10-15,,100,-0.192218087231758,1,canalA,segmento-R
24,46455351,0,402853,2024-10-15,-1.14,2024-10-15,2024-10-15,,100,-0.1928963164087232,1,canalA,segmento-S
25,46455351,0,402853,2024-10-15,-1.14,2024-10-15,2024-10-15,,100,-0.22773318957408323,1,canalB,segmento-M
26,46455351,0,402853,2024-10-15,-1.14,2024-10-15,2024-10-15,,100,-0.0038317686246141045,1,canalB,segmento-R
27,46455351,0,402853,2024-10-15,-1.14,2024-10-15,2024-10-15,,100,-0.20392887258511103,1,canalB,segmento-S
28,27825066,0,402856,2024-10-08,-79.99,,2024-10-08,M1,100,-0.035301668415149395,1,canalA,segmento-D
29,27825066,0,402856,2024-10-08,-79.99,,2024-10-08,M1,100,-22.375353882813847,1,canalA,segmento-M
30,27825066,0,402856,2024-10-08,-79.99,,2024-10-08,M1,100,-13.487302454095019,1,canalA,segmento-R
31,27825066,0,402856,2024-10-08,-79.99,,2024-10-08,M1,100,-13.534891534678746,1,canalA,segmento-S
32,27825066,0,402856,2024-10-08,-79.99,,2024-10-08,M1,100,-15.979278801781508,1,canalB,segmento-M
33,27825066,0,402856,2024-10-08,-79.99,,2024-10-08,M1,100,-0.2688624318270897,1,canalB,segmento-R
34,27825066,0,402856,2024-10-08,-79.99,,2024-10-08,M1,100,-14.309009226388625,1,canalB,segmento-S
35,46117453,81044,402853,2024-10-11,-559.4,2024-10-11,2024-10-02,,204,-0.24687777611494652,1,canalA,segmento-D
36,46117453,81044,402853,2024-10-11,-559.4,2024-10-11,2024-10-02,,204,-156.47922192831686,1,canalA,segmento-M
37,46117453,81044,402853,2024-10-11,-559.4,2024-10-11,2024-10-02,,204,-94.32175262933809,1,canalA,segmento-R
38,46117453,81044,402853,2024-10-11,-559.4,2024-10-11,2024-10-02,,204,-94.65456087635067,1,canalA,segmento-S
39,46117453,81044,402853,2024-10-11,-559.4,2024-10-11,2024-10-02,,204,-111.74907565591418,1,canalB,segmento-M
40,46117453,81044,402853,2024-10-11,-559.4,2024-10-11,2024-10-02,,204,-1.880255586499237,1,canalB,segmento-R
41,46117453,81044,402853,2024-10-11,-559.4,2024-10-11,2024-10-02,,204,-100.0682555474659,1,canalB,segmento-S
42,46125965,0,402856,2024-11-04,-182.74,2024-11-04,2024-10-01,,100,-0.08064791706693838,1,canalA,segmento-D
43,46125965,0,402856,2024-11-04,-182.74,2024-11-04,2024-10-01,,100,-51.117291768288574,1,canalA,segmento-M
44,46125965,0,402856,2024-11-04,-182.74,2024-11-04,2024-10-01,,100,-30.81222215853637,1,canalA,segmento-R
45,46125965,0,402856,2024-11-04,-182.74,2024-11-04,2024-10-01,,100,-30.920941105728144,1,canalA,segmento-S
46,46125965,0,402856,2024-11-04,-182.74,2024-11-04,2024-10-01,,100,-36.505230756814015,1,canalB,segmento-M
47,46125965,0,402856,2024-11-04,-182.74,2024-11-04,2024-10-01,,100,-0.6142257881245452,1,canalB,segmento-R
48,46125965,0,402856,2024-11-04,-182.74,2024-11-04,2024-10-01,,100,-32.6894405054414,1,canalB,segmento-S
49,46126417,0,402856,2024-11-04,-3374.96,2024-11-04,2024-10-01,,100,-1.4894576676383624,1,canalA,segmento-D
50,46126417,0,402856,2024-11-04,-3374.96,2024-11-04,2024-10-01,,100,-944.0670626370975,1,canalA,segmento-M
51,46126417,0,402856,2024-11-04,-3374.96,2024-11-04,2024-10-01,,100,-569.0599611260474,1,canalA,segmento-R
52,46126417,0,402856,2024-11-04,-3374.96,2024-11-04,2024-10-01,,100,-571.0678526550741,1,canalA,segmento-S
53,46126417,0,402856,2024-11-04,-3374.96,2024-11-04,2024-10-01,,100,-674.2021100745158,1,canalB,segmento-M
54,46126417,0,402856,2024-11-04,-3374.96,2024-11-04,2024-10-01,,100,-11.343917401164578,1,canalB,segmento-R
55,46126417,0,402856,2024-11-04,-3374.96,2024-11-04,2024-10-01,,100,-603.7296384384617,1,canalB,segmento-S
56,46209725,81044,402853,2024-10-10,-7517.66,2024-10-10,2024-10-01,,204,-3.3177389745947243,1,canalA,segmento-D
57,46209725,81044,402853,2024-10-10,-7517.66,2024-10-10,2024-10-01,,204,-2102.891647339347,1,canalA,segmento-M
58,46209725,81044,402853,2024-10-10,-7517.66,2024-10-10,2024-10-01,,204,-1267.5703733848227,1,canalA,segmento-R
59,46209725,81044,402853,2024-10-10,-7517.66,2024-10-10,2024-10-01,,204,-1272.0429140466686,1,canalA,segmento-S
60,46209725,81044,402853,2024-10-10,-7517.66,2024-10-10,2024-10-01,,204,-1501.7725350293883,1,canalB,segmento-M
61,46209725,81044,402853,2024-10-10,-7517.66,2024-10-10,2024-10-01,,204,-25.26836291097936,1,canalB,segmento-R
62,46209725,81044,402853,2024-10-10,-7517.66,2024-10-10,2024-10-01,,204,-1344.7964283141982,1,canalB,segmento-S
63,46867563,81044,402884,2024-09-10,-407.69,,2024-10-01,,204,-0.17992420547783794,1,canalA,segmento-D
64,46867563,81044,402884,2024-09-10,-407.69,,2024-10-01,,204,-114.04185553799698,1,canalA,segmento-M
65,46867563,81044,402884,2024-09-10,-407.69,,2024-10-01,,204,-68.7415719153644,1,canalA,segmento-R
66,46867563,81044,402884,2024-09-10,-407.69,,2024-10-01,,204,-68.9841221374319,1,canalA,segmento-S
67,46867563,81044,402884,2024-09-10,-407.69,,2024-10-01,,204,-81.44258250654211,1,canalB,segmento-M
68,46867563,81044,402884,2024-09-10,-407.69,,2024-10-01,,204,-1.3703278513762494,1,canalB,segmento-R
69,46867563,81044,402884,2024-09-10,-407.69,,2024-10-01,,204,-72.92961584581046,1,canalB,segmento-S
70,46991619,81044,433996,2024-10-01,-3767.77,,2024-10-01,,204,-1.6628149419245837,1,canalA,segmento-D
71,46991619,81044,433996,2024-10-01,-3767.77,,2024-10-01,,204,-1053.9465820608768,1,canalA,segmento-M
72,46991619,81044,433996,2024-10-01,-3767.77,,2024-10-01,,204,-635.2925811659657,1,canalA,segmento-R
73,46991619,81044,433996,2024-10-01,-3767.77,,2024-10-01,,204,-637.5341702414869,1,canalA,segmento-S
74,46991619,81044,433996,2024-10-01,-3767.77,,2024-10-01,,204,-752.6721751592488,1,canalB,segmento-M
75,46991619,81044,433996,2024-10-01,-3767.77,,2024-10-01,,204,-12.66423058838797,1,canalB,segmento-R
76,46991619,81044,433996,2024-10-01,-3767.77,,2024-10-01,,204,-673.9974458421086,1,canalB,segmento-S
77,47475181,0,402853,2024-10-31,-57.83,2024-10-31,2024-10-31,,100,-0.025521883791075003,1,canalA,segmento-D
